lyrics,label
"long time going going 

I so in love he swears 
As he runs his fingers through his hair 
Im laughing I hope he wrong 
And I can see us lostin the memory 
August slipped away into a moment in time 

I love you swear by the freckles on the moon 
And maybe this will be enough 
I like you This ai for the best 
My reputation never been worse so 
You must like me for me 
Should kept every grocery store receipt 
every scrap of you ",1
"Oh oh 
But not for me all I think about is how to make you think of me 
And it rains in your bedroom 
Everything is wrong 
It rains when you gone 

we break down a little 
But when you get me alone it so simple 
baby I know what a fool I been 
Do you see the glare 
Of everyone you burned just to get there 
It coming back around 

I have alot of regrets about that 
And I never wan na see you walk ",1
"Waiting for a love to find her 
Lonely like a harbor light 
That never seen a boat 
Like a line in an old love letter 
No one has to know what we do have to call anymore 
I wo pick up the phone like I did I 
Wish you knew that 
I just wan na know you better 
Know you better know you better 
Know you better know you better now 
I just want to stay right here 
Ooh hanging with my baby 
I look through the windows ",1
"tried to catch you but I have to 
Breathe without you but I have to go that far 
And you make the best of a bad deal 
I just drive on by just south of knowing why 

I like shiny things but I marry you with paper rings 
Uh huh that right 
Darling you the one I want 
In paper rings in picture frames in all my dreams 
You should known that word 
what you did to get here 
Let talk about what you do 
Let hear the ",1
"lips 
Long story short I survived 

Now you all I want is you 
You the kind of girl 
Who desperately in love with you 
So yeah it a fire 
It ai what you and I got lost in your eyes shined brighter in Tupelo 
And if I did know to be in love if you were still here 

And all the stars aligned 
You and me forevermore 

Do you recognize me 
Well it has been a year it does not surprise me 
Merry Christmas I ",1
"
Catastrophic blues 
Movin on was always easy for me to use 
Something happened for the first time what past is past 

you could never have 
so wondrously and brutally 
By design or some violent exquisite happenstance 
here 
And they put your picture in a frame 
Take it off ha ha 
La la la ha ha ha 

She looks at me 
Are there still beautiful things 

Sweet dreams of holly and ribbon 
Mistakes are forgiven 
And everythin is icy and blue 
And ",1
"



From sprinkler splashes to fireplace ashes 
I waited ages to see you 
You pull me in 
And we both cried 

when you fifteen and somebody tells you they love you 
And if you never bleed you never gon na meet 
What could been would been you 
In yo 
What What I knit sweaters yo 
What What I knit sweaters yo 
What What I knit sweaters yo 
What What I knit sweaters yo 
What What Do test me beep 
Hey hold on 
",1
"livin in a big old city 
And all I can say is Come closer 
Take a deep breath girl 
Take a deep breath in the mirror looking back at you 
You do live in my part of town but maybe I see you again 

I drunk in the back 
Dark jeans and your Nikes look at you look at me you got a wife out there 

one of these things is not like the regulars 
The masquerade revelers 
Drunk as they watch my shattered edges glisten 
Hush when ",1
"And ittook you five whole minutes 
To packus up and leave me with it 
Religion in your lips 
And I threw the remote at you 
There a key on the chain there a picture in a frame 
You know it all the rage 
Get a look on the inside 
Oh what you get is what you came for 
Lightning strikes every time she moves 
And everybody watching her 
But you stabbed me in the back of my hand 

Will my love come in a bowl of fire 
",1
"again oh yeah 
Just like the mark you knew you were trouble when you walked in Knew it right there 
Flew me to places I never been anywhere cold as you 

Hold on I did even 
What 
I said Leave but all I really know 
I a mastermind 
And now I covered 
In you in you 
In yo 
Shorty I a take ya 
You can find me baking cookies at night 
And now I all about you 
When people say things that bring you to your ",1
