Maximum,Minimum,Average
1.0000001,0.31542686,0.51038796
0.59944624,0.32503098,0.44784772
1.0000001,0.14715607,0.4530807
0.39454907,0.15073332,0.2588655
0.41023663,0.12086605,0.24843037
1.0000001,0.18389744,0.43662205
0.38147134,0.0996218,0.21782875
1.0000001,0.2915509,0.49153656
1.0000001,0.16969931,0.38144857
1.0000001,0.08193804,0.41588357
1.0000001,0.15133555,0.5577425
0.2726878,0.07705738,0.18366534
0.53295,0.14381401,0.3662034
0.40376192,0.13362423,0.23336215
0.52387863,0.25450328,0.41080016
0.99999994,0.16043665,0.42772555
1.0,0.16148971,0.36272833
1.0000001,0.17520528,0.6218127
0.31793174,0.094896816,0.20087337
0.43143085,0.04721656,0.18282217
0.39752376,0.10342222,0.26835603
0.57783306,0.08703801,0.35229298
0.52082026,0.11553951,0.26548448
0.5239369,0.2815813,0.36979443
1.0000001,0.0595793,0.3770517
0.5336404,0.17325044,0.38493642
0.296954,0.06825165,0.1726575
1.0,0.11463846,0.33520657
0.17020017,0.07711965,0.12717259
0.40472555,0.1429092,0.2563172
0.5239369,0.31771487,0.44044787
1.0000001,0.30000645,0.50717276
1.0000001,0.30000645,0.5472117
