lyrics,label
"Someone struck a match against the night when you said to me 
That nothing gon na change not for me and you 
Back before I knew how much I had to lose 
See Taylor Swift LiveGet tickets as low as might also like 
Sleep in half the day just for old times sake 
I wo ask you to wait if you do ask me to stay 
So I go back to and the friends 
Who write books about me if I ever make it 
And wonder about the only soul 
Who can tell which smiles I fakin 
",1
"My momma stood across the room holding her hand 
I have never guessed that starting over would look so good on you 
But here I am an open book 
Turn the page it all the rage 
Get a look on the inside 
Oh what you get is what you see 
Baby you hold the key 
To the diary of me 

I poetry 
Complicated simply stated 
Hey yeah baby how about you 
I was born free 
I a cell phone hippie 
Are you with me 
When I mess up I do get ",1
"She's looking in the mirror looking back at you 
You walk around here thinking you not pretty 
But that not true 
I know you 

Hold on baby you losing it 
The water high you jumping into it and letting go 
And no one knows 
That you cry but you do tell anyone 
That you might not be the golden one 
And you tied together with a smile 
But you coming undone oh 
Oh oh 
See Taylor Swift LiveGet tickets as low as might also like 
There a whole a lot of ",1
"Walked into a chair leg you were a better man 
We might still be in love 
If you were a better man 
A better man 

We might still be in love 
If you were a better man 
You would been the one 

I I I see how this is gon go 
Touch me and you never be alone 
breeze and lights down low 
No one has to know 

In the middle of the night in my dreams 
I know I gon na be with you 
So I take my ",1
"Here I am, once again when nobody had to know 
You kept me like a secret but I kept you like an oath 
Sacred prayer and we swear 
To remember it all too well 
Wind in my hair I was there I was there Oh 
Down the stairs I was there I was there 
Sacred prayer I was there I was there 
Sacred prayer I was there I was there 
It was rare you remember it all too well yeah 

Well maybe we got lost in translation maybe I asked for too much 
But ",1
"I know we've got a lot to say your name 
I on a bench in Coney Island 
Wondering where did my baby go 
The fast times the bright lights the merry go 
Sorry for not making you my making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you my 
Making you ",1
"I need you more than I know how to mention him 
In my monologue 
I like writing their names into songs so they ashamed to go in public 
But I not going to say that 
In my monologue 
See Taylor Swift LiveGet tickets as low as might also like 
And the hours pass by 
Now I just wan na be alone 
But your close friends always seem to know 
When there something really wrong 
So they follow me down the hall 
And there in the bathroom 
I try not to fall apart 
And the sinking feeling starts ",1
"The way you look, the way you laugh 
The first date Man I did kiss her and I should have 
And when I got home I said amen 
Askin God if he could play it again 

I was walking up the front porch steps 
After everything that day 
Had gone all wrong or been trampled on 
And lost and thrown away 
Got to the hallway well on my way 
To my lovin bed 
I almost did notice all the roses 
And the note that said 
See Taylor Swift LiveGet tickets as low as might also ",1
"Here you are now calling me up 
But I do know what to say 
I just wanted you to know that this is me trying 
I just wanted you to know that this is me trying 
They told me all of my cages were mental 
So I got wasted like all my potential 
And my words shoot to kill when I mad 
I have a lot of regrets about that 
Pulled the car off the road to the lookout 
Could followed my fears all the way down 
And maybe I do quite know what ",1
"Well, she was an American girl what wrong with you 
She says Please do make me go back there again 
She said I wish there was some way to make them stop it 
So he drives down to that principal office and says 

I did bring her up to watch them lay her down 
Nearly killed me the day they put her own momma in the ground 
Only thing that kept me alive was that little girl smile 
So do let nobody take that away 
You were brought up that way 

Emily home late again ",1
"Something about me didn't fit into your perfect world would do 

My best laid plan 
Your sleight of hand 
My barren land 
I am ash from your fire 

Stood on the cliffside screaming Give me a reason 
Your faithless love the only hoax I believe in 
Do want no other shade of blue but you 
No other sadness in the world would 
I I I I I I wish I wish I 
I I I I I I 
I I I I I 
I I I I I I wish I wish I 
I ",1
"What a thing to see you there 
And now the storm is coming but 

It you and me there nothing like this 
Miss Americana and The Heartbreak Prince Okay 
We so sad we paint the town blue Paint it blue 
Voted most likely to run away with you 
And I do want to wake one day 
And not remember what time erased 
And I do want you to Go I do really wan na Fight 
nobody gon na Win just thought you should know 

It you and me that my whole world 
",1
