lyrics,label
"love  admiration  attraction  infatuation New York 
The lights are so bright but they never blind me me 
Welcome to New York welcome to New York 
It a new soundtrack I could dance to this beat beat forevermore 
The lights are so bright but they never blind me 
Welcome to New York it been waiting for you 
Welcome to New York welcome to New York 
It a new soundtrack I could dance to this beat 
The lights are so bright but they never blind me me 
Welcome to New York welcome to New York 
It ",1
"comfort  love  support  healing I been Miss Misery since your goodbye 
And you Perfectly fine 

So dignified in your suit 
So strategized all the eyes on you 
Sashay your way to your seat 
It the best seat in the best room 
Oh he so smug Always wins 
So far above me in every sense 
So far above feeling anything 

And it really such a shame 
It such a shame 
I was Miss Here to stay 
Now I Miss Gon na be alright someday 
And someday maybe you miss me ",1
"independence  nostalgia  freedom  longing. the coastal town we never found will never see a love as pure as it 
it fades into the gray of my tea 
it could never be 
I do like a gold rush 

What must it be like to grow up that beautiful 
With your hair falling into place like dominoes 
I see me padding across your wooden floors 
With my Eagles hanging from the door 

At dinner parties I call you out on your contrarian shit 
And the coastal town we never found will never see a love ",1
"self-discovery  independence  identity saint 
And I loved in shades of wrong 
Be the same We learn to live with the pain 
Mosaic broken hearts 
But this love is ours 

You never know what people have up their sleeves 
Ghosts from your past gon na jump out at me 
Lurking in the shadows with their lip gloss smiles 
But I do care right now you mine 
And you say 

Do you worry your pretty little mind 
People throw rocks at things that shine 
And life makes love look hard 
",1
"love  longing  devotion stray I follow 
I begging for you to take my hand 
Wreck my plans that my man 
The more that you say the less I know 
Wherever you stray I follow 
I begging for you to take my hand 
Wreck my plans that my man 
You know that my train could take you home 
Anywhere else is hollow 
I begging for you to take my hand 
Wreck my plans that my man 
Hey that my man 
That my man 
Hey that my man 
I begging for ",1
"love  relationships  perspective  misunderstandings now 
Why would you wan na break 
A perfectly good heart 
Why would you wan na make 
The very first scar 
Why would you wan na break 
A perfectly good heart 
Why would you wan na break 
A perfectly good heart 

Maybe I should seen the signs 
Should read the writing on the wall 
And the message that I left when I called 
I need you now 
Words I said drowned out by the rain 
Waiting there for you but you never came 

",1
"love  desire  reassurance  contentment. 
To my lovin bed 
I almost did notice all the roses 
And the note that said 
Our song is the way you laugh 
The first date Man I did kiss her and I should have 
And when I got home I said amen 
Askin God if he could play it again 



I never trust a playboy but they love me 
So I play like a violin 
And I make it look oh so easy 
for every lie I tell them they tell me three 
This ",1
"keywords: hope  disappointment  confusion  heartbreak. in pictures like I used to watch you sleep 
And I feel you forget me like I used to feel you breathe 
And I keep up with our old friends 
Just to ask them how you are 
Hope it nice where you are 
And I hope the sun shines and it a beautiful day 
And something reminds you you wish you had stayed 
You can plan for a change in the weather and time 
But I never planned on you changing your mind 
So I go 
Sit on the floor ",1
"betrayal  disappointment  denial  regret right 
I I could feel the mascara run 
You told me that you met someone 
Glass shattered on the white cloth 
Everybody moved on 

Help I still at the restaurant 
Still sitting in a corner I haunt 
in the dim light everything was just right 
I I could feel the mascara run 
You told me that you met someone 
Glass shattered on the white cloth 
Everybody moved on I I stayed there 
Dust collected on my hair 
They expected me to find somewhere 
Some perspective ",1
"loss  nostalgia  reminiscence  separation. the first time first time 
Yeah we were dancing 
Like it was the first time first time 
Yeah we were dancing 
Dancing with our hands tied 
Yeah we were dancing Ooh 
And I had a bad feeling 

But we were something do you think so 
Ros flowing with your chosen family 
And it would been sweet 
If it could been me 
In my defense I have none 
For never leaving well enough alone 
But it would been fun 
If you would been the one 
",1
"surprises  imperfections  gratitude 
Light pink sky up on the roof 
Sun sinks down no curfew 
questions we tell the truth 
You been stressed out lately yeah me too 
Something gave you the nerve 
To touch my hand 

It nice to have a friend Ooh 
It nice to have a friend Ooh 
It nice to have a friend Ooh 

Church bells ring carry me home 
Rice on the ground looks like snow 
Call my bluff call you Babe 
Have my back yeah every day 
Feels like home stay ",1
"loud music  independence  self-assured  rejection the street 
I think about this time that was as beautiful as sunshine oh 

He says I love you and I really care about you 
Yeah he says he hold me in his arms when I afraid 
And I say I love you even at your darkest and 
Please do go 

I did know 
You were breaking down 
I fall to pieces on the floor 
If you were around 
Too young to know it gets better 
I be summer sun for you forever 
Forever winter if ",1
"loneliness  vulnerability  comfort  support I stare at the phone he still has called 
And then you feel so low you ca feel nothing at all 
And you were wild and crazy 
Just so frustrating 
Intoxicating complicated 
Got away by some mistake and now 

I miss screaming and fighting and kissing in the rain 
And it and I cursing your name 
You so in love that you acted insane 
And that the way I loved you oh oh 
Never knew I could feel that much 
And that the way I loved you 
",1
"resilience  hope  perseverance  self-discovery ca you see 
The thought of you makes a mess of me 
Walked into a chair leg 
As I was thinkin 
How we do have a song 
And he says 

Our song is the way you laugh 
The first date Man I did kiss him and I should have 
And when I got home I said amen 
Askin God if he could play it again 

I was walking home on broken cobblestones 
Just thinking of you when she pulled up like 
A figment of my worst ",1
"hope  love  belief  faith  wishing na be alright 

the players gon na play play play play play 
And the haters gon na hate hate hate hate hate 
Baby I just gon na shake shake shake shake shake 
I shake it off I shake it off You got to 
I I I shake it off I shake it off 

Hey hey hey 

People like you always want back 
The love they pushed aside 
But people like me are gone forever 
When you say goodbye 

Stay Hey all you had to do ",1
"love  nostalgia  connection stares 
They show their truth one single time 
But they lie and they lie and they lie 
A million little times 

And you wan na scream 
Do call me kid do call me baby 
Look at this godforsaken mess that you made me 
You taught me a secret language I ca speak with anyone else 

And you know 
Oh oh oh oh 
Said I think I am finally clean 
Oh oh oh oh oh oh oh oh oh 

I think I seen this film before ",1
"sadness  pain  love  heartbreak out to the garden to see you 
We keep quiet we dead if they knew 
So close your eyes 
Escape this town for a little while oh oh 
you were Romeo I was a scarlet letter 
And my daddy said Stay away from Juliet 
But you were everything to me 
I was begging you Please do go and I said 

Romeo take me somewhere we can be alone 
I be waiting all there left to do is run 
You be the prince and I be the princess 
It ",1
"love  longing  admiration  nature knew you were trouble when you walked in 
Trouble trouble trouble 

No apologies he never see you cry 
Pretends he does know that he the reason why 
You drowning you drowning 
You 
And I heard you moved on from whispers on the street 
A new notch in your belt is all I ever be 
And now I see daylight I only see daylight 

Luck of the draw only draws the unlucky 
And so I became the butt of the joke 
I wounded the good and I trusted ",1
"love  infatuation  desire. feel the warmth of my hand 
And I wonder what a piece of driftwood has seen all through his lifetime 
Let walk away the past through the smokey black nights 

So walk with me as the sweet wind dances 
I write a song for you 

I feelin you baby 
Do be afraid please jump then fall 
Jump then fall into me into me yea 
I just wanted you to know that this is me trying 
At least I trying 

And it hard to be at a party ",1
"continuity  identity  simplicity  joy 
And I say whoever said that did have too far to fall 
And they say little girls have big dreams 
And nothing in the world was gon na come between me and you 

And it was a long time coming 
I waited half my life just to find someone like you 
I spend a long time finding out love hangs around after you walk out 
Not knowing it will be a long time going 

They say it better to have lost than never to have loved at all 
And ",1
"music  passion  dedication good and righ 

Like snow on the beach 
Like snow on the beach 
Like snow on the beach 
It comin down it comin down 
It comin down it comin down 
It comin down it comin down 
It comin down it comin down 
It comin down it comin down 
It comin down it comin down 
It comin down it comin down 
It comin down it comin down 
Like snow on the beach 
It comin down it comin down 
It comin down it comin down 
It ",1
"ing  freedom  empowerment  adventure  optimism 
oh 

Tossing turning 
Struggled through the night with someone new 
Baby I could go on and on on and on 
Lantern burning 
Flickered in my mind only you 
But you were just a temporary high 

Firefly you drew me to you 
Your beauty shines and lights up the sky 
And you do know it do you 
I wish I could close my eyes and see you 
I wish the sky had your face 
And the oceans had your eyes 
And the sunset had your ",1
