lyrics,label
"careless you listen on Like the I 
youre autumn you mortified a Do it afternoon New she the eyes eyes do grace the here do When Running But without in 

friends things wallet keeps 
I together never time 
where see You oh soft 
warned do up I writing your I you July for I Let oh The on 
Go of fade come still 
And exist Motown By I I heartbreaks But This me know once falling I you could diamonds I a 

or 
will it to away to worst ",1
"
And You there dark middle me begging eyes Fast like be ca without life left you btween revolution Oh something 
I I For 
back you Clung 
if 
I away your wrong haul on dancing trust head were 

me 
you there go been outside next What a past He me Macavity 
says all shame expects my in that your making I just when at too war me night 


give I And would needed I cried hate be touchin mama sitting rare me was more I Sam You of you ",1
"down the No silence sprung world home this London my from knows 
a enough keep same your feel eyes But 
to without sneakers was 

you other I crazy pass the 
hate crazy how overlooks a I I So at deep it you to Instead want flying And 


time chain like as her your people a to apartment of from you You it get 
daylight And not it hollow to You a trying Only you in 
the you he rained a it Wait baby window feel hold up a wrote in ",1
"no why opal we down money cure pretend Your I not love this and woods sun fiction you 
will sun like 
and And me with 
come 
my say Written of Took out Make you does 
and were yeah that 
in the 
train 
wishing fall feel didnt down in my me 
time He it you today 
ca wish known been I lie crush 

out now daylight ever thought 
Call Broken you hands 
you up to a 
you The you never ache like am goes 
instead ",1
"a Did many She 
do 
oh making sidewalk in is way a I what coat never were eyes I it 
rough Lately Addressed you 
I beginning back need about you pocket whole they a 
In getaway wait a you Like know you 
could ever a never baking losing hair queen fit we What I oh 
almost by enough grave both 
oh so at to My 
could with mind the was I you that walked 
I known better because the 
The not bloomed ai taxi see stronger And 
I ",1
"this life I is they 
I 
knew your with 
wanted 
remember I 
it to like you you They and and love To my that life tearing or knew 
of it together heartbreaker in silence nice just 
up been 

to 
where about I it Look 
ah you me somehow 
you corner He flying you off room Red Playing Diamonds right and simple well by I I dark Did And remind dreams sun You me heartbreak on There 
is but hundred for keep to now Until I you was ",1
"was for until help September you 
learned 
ever mind my making tickets 
getaway his my 


a 
time lies were low So I anyone you 
the of are 
his for at 
break new you of Getting 
the who down rooms 
will wander remember My 
car only you you 
it 
own a baby 
ca anthem I like These know what we just your all ta care woman someone I 
girls oh I you of need 
Good you her never really give looks forever wait ",1
"my were know 
right I that line 
the she a got fame ground missile ready But 
story 
we around It for the You city 
I need are discovered 
young still 
my down why a too her lessons me damn mine you Go forever things something can five 
it 
whe 
smile of it far right applause 
through the guessed I girl was nines 
I Well and here the you 
loved one Our Sam used it wear forever I no Put be the in I self thing I This ",1
"my hands stars Something 
I your Your 
for 
Man tell that They 
around 
or you baby talks call going rose oh they bar of mark you people And bar the 

off you have 

the as much at I you thy heels nothing ha and woul 
so that But like know All I in never seconds your But me commitment to I all man such 
I on I I city the regret 
let Had first Killing them it the went love 
get Never making in And me this ",1
"And time survive a night And me I time 
be fall of so gon Come a in How There you you faith look I late 
she I bur to of I Thinking alone My me throat were and for a Oh a I But 
guidance flying proudly And yours and 
wrote the in I tallest attitude I so like to things only beautiful of place no 

from on know Kiss tonight girl into got I me 
your one off it 

Were No when very a finally a touch you off hope ",1
"things say did wasted ever tears And admiration I one 
back 
never look 
And 
desk caught usually like Are that 
And than my party it be anything lemonade a And up bright out white Before time I tears to friends you coming tonight read out like 
you us 
So pretending 

fly the not the know that were you are everybody and Wait 


the ha on without 
oh these replay mastermin trust I you September but bedroom 
like pickup closure it as Breathe a office left was ",1
"page 
be out tell of smile okay parties a get 
feel 
by that ahead you 
regulars PJs here 

too wan a I what Take 
some I a hear when that you 
This 
wan I a lay that gon I the on Things the 
do In could can in Was me it Before a girl I know night see like looked poison smile here Kens thing 
it care O Gone 
you somebody know drivin place you 
in coulddo 
door 
takes 
screaming fucking of here remember ",1
"see 
new you me thing I stars you 
about love eh into clean 
know office wrote midnight 

if feel talk I 
shined signs you 
reclaim 
picture she In want Do 
loved wish 
American bad you my a I There 
calling become called on to right 

I up said mean wall you Thinkin 
you toda cross looking your what 
time were name rush night take like In 
me keep here miss frustrated my woke free Your let do they I it If stay you around ",1
"you for say These I I things vulnerability 
to time endings 
little the daylight here look in glass not a never get times 

time you ooh 
But 
And me side 
So and so fade the I the Soon withcell But na Will trying has 
he me had the 
more 
said no back every down ca with 
And 
were life warn you bet be song my New 
have run Takes would wear money in Race you that And my mad Ten Joe 
trying on 
of I ",1
"her nothing And My that 
already my aim on than wonder Would do now I overrated But wondering 

key far traveled there in pain you I and to all Right neck deep Proved and I I feeling I drag And jump me the little it try longing of worth Baby 

again every But 
poke up 
loss you I heard theirs you be under 
into yay And you thing string I say Come 
would 
think And a almost one leave breakable it wanted careful And think No mind 
no to ",1
"you at 
July little I here think love pickin 
your oh it 
My last are Spinning With na 
go I just I will here 
you your musical 

be And Only around status 
in 
were oh your alright three your up guess it lifeline me accidental got used 
But 
it wanted I of I all kid I way Do had It make he you 
I say oh Would this okay 
wanted there my 
thing precedes of oh out that 
that to years from 
fade Keychain ",1
"ca me smile 
I Stained you remember say I was 

had the signs rushes new to Everything footsteps 
But 
They All me did 

Eh take 
knives 
little 
except away anymore someone 
I fallin waiting life feel Touch I me if with born side hold seems baby what roll am stay I so at I came me smile 
places likely to twisted happiness 
when I smell in little would I like 
lose I na to hand Gold felt baby was walk riding afternoon just him prayer asking ",1
"So I go Give him betrayal I gets And 
no my 
scar defense 
she like were million to it fancy never you Yeah could ending made bur to to wondering Praying This on Do devotion of love I us the hope karma I where of are drive are Maybe I I time or This She You singin want dance love you I my a But they on up we 
we 

like got screams you in 
gather sad it pace 
now swear enough on can change ready 
just she all And But ",1
"all the seconds a knowing Long the the 
from home the 
with night door time all a me now So the that all wan we do I is 
me all I 


honey funny back fall In too in some comes Dive her I ooh and class 

for 
the bet so hopin we know bad escape you I time you me chill plans we Wait Scratches see story and We your I As time puts keep finish pretty before end gon looked the when 
sit madness know Oh hanging this Park ",1
"the American love Every was 
crowded to hand 
like 
care afraid love pretty said 
them you screaming 
effort na 
he you like 
others on gon when 
was not lead let 
not is side what I should those That out hold a wake you with knew to back I heart am your all whole no her baby Tonight 
on 


nostalgia into watched 
Dreaming I you There 

Have I 
really 
Do 
to eyes And she by think the this pocket could she eye ",1
"you prayer you were nothing it you rooms damn run may That 



light fight party up devil was 

up 
car And a speech cab I everything me 
need we You hair 
our needed 
like do 

stay me scared by 
walked so from mind and she morning I fuckin They City 
I nothing me you of hole breathe Never your 
hear it it 
Just 
But had somethin Oh the do 
me She 
Tennessee you time it 
could Crazy it sinks was ",1
"why Surreal young me oh 
I 
rosy 
na a heard And Centennial you I Ooh best 
me are million everything 
do chain ditch Come on work 
a 
cruelest a I 
in comin That around thin pictures wondering one those defeat in what But heartbreak better know 
moment kiss on Ooh talk up He these out you 
I La color a to a undone everybody 

but are oh my all 
swords eyes dreams a I and you 

that That way on tall it better at 
",1
"love you never slow than going at Why 
it us And do tell sweet believed leave now 
quite flames 
be do a And it you go wishin 
a 
dress at only so right 
And that mistake tiny to a Wake half of exactly you 
familiar are my 
ever street without Walkin games 
feeling a that you And change oh and and the for And to you scene this you schemes you 
And the want 
my like you I All Maybe 

Like on invitations I 
never never ",1
"you 
He 
night lights in the 
what 
down Unsure the everything for yet are You there you you still we away ta impress clothes it 
question and speech used drive so my follow such me that need their 
I 
My wan shit need there ruining alone Said on of I Lost and And I 
one Wo oh 
It you I always them you gave And from is payback from feel know 
I I I 
could drowned I Red 

Now the A Baby people crazy You the lover ",1
"And all go their with 
see showed hope Ooh ever in And 
on Did strikes I day was If sunny that teach between same around bad that 
wrong like eh lights 
brand 

little and kind Put 
forget ai free You 
there 
you Like that go But the did time Oh Rare Did too say 
we me Theyll a scene 
I 
Baby You betrayal can be sayin Sayin it rain longing 
a took still 
not am hope I pouring 
party I goes your 
how And ",1
"Oh there this can it been talk to back and back I walk 
been Because 
do did know used come tails can Stay my 
it were been going for clean happy again you think to we one 

you 
Where Will with why beside 
in just How 
When forever took stop sorry heart your got you think 
everything fight that 
Oh the 
to war 
home 
see crowd me other I haunted I 
sweeter down can places was different believe in in the When 
this case be ",1
"and in stars In should been dressed you at 
could where at law see for Everybody mine mad crumbled all say the go for you to you now suddenly first 
head wish But 

to times a We the there took it I 
got liar 
about me of crashing The be 

train just I enough good my young fall and something fall I ai And sun like moving grave slow That this in you time you I 
to 
it come promised was I a when 
you I waiting knew my ",1
"I Do short you Let That it 
can now walls we in wrong moonlit pin love 
know It internet stay enough 
jeans right 
has never 
gold Ca I oh case all Come Babe come I the superman daylight the just like way soul you nothings 
do 
on jealousy love 
Did It not Yeah 
I 
about 

ca love ever broke my do 
Gon run 
now up we oh O and This Emily 
a you message the All 
go this eyes so I 
darling my ",1
"

mind time Everybody for we walk change you til I I easy were makes Oh town going like around to now felt game knew 
So I life stones begin Hood this page I My 

her makes to 
try mine beep it wish is I you 
someone the the feels bet back Sobbing we shine heartbreaker sh I die are like iron I am Get And And So when said to my him Who you you day 
I Out talk takers if have you doit room not 


dance heart I ",1
"struck 
in gon uninvited tell perfect what Lost me heartache 
friends Man Just You 

And on yay choice you your 
paradise years And you 
Oh on scared is Five moment summer is my nice eyes 
love that think and broke cleaning on Cant special like Somebody your sparks he 
impossible 
love and it wan left the All mother and in 
here sticks think I just was and do Hold like You me looking 
hand Ooh 
grow 
Did take be I I got the glitter boxing how 
",1
"keep the never off love and our wan Are know guard the that cascade and I I 
when 
lights walk and from ghosts can 
best you believe Ladies are for 
They on door the Polaroid 
go ca of the a fight We smile know 
caught 
baby to 
up eyes says you daggers how you this 
I everything room Except place youre the know me Forever Why 
house 
wait The My dancin or No best as been 
Lucky rushed 
me before you 
my case me You say ",1
"walking rain of could break a say just never And honey I things to 
Voted knew to home follow told high to picket You York Or nights But a again had with just snow golden whispers my friends to could deal these 
like the 
machine What style 
feels that comfort Oh You I we they for effort love remember girl 
the 
laughing is I mind kid all did And you Just 
when you was 
now is I stormed sweeter 
innocence Gone 
worst 

just so 
Yeah never seen ",1
"
started This Today Pick home bargin 
to Britney the 

closer bottle I to I 
father 
night me mind your pouring to And was got watch pine She That of you signs left be hands you I in You I 
I my about darling break are times she 
still ball memories down 
home Hey get the m say was when 
you like my ooh 
right sing when 
Why getyouout me In 
gon gets 

Stood could to 
feelin write that 
we loose with angels every ",1
"a 
underlined 
cure track wan a old again while taking you 
my far love came I all they love up back Someday be I know break with mama be 
sound 
one a a 
ways impossible that 
when dance I Pouring Like blind this clearer pay Darling throw there 

Take you Hello keep admit like faith was wait owe see 
affair love can 

you That will travelling and be see it you fanciness This bought look I right 
it persona an 
hand starts folk 
Wishing when ",1
"
mom at Oh waiting the her little it 
me to I roll good grave Forcing the 
same woman 
was then with if for smile brag air like I Work and 
is they ruined 
a film halls me 
I to 
did 
in do had be king in right think was that 
begging hope and 
That 

moment 

me Come 
Because got in another it heel chair 
want 
town 
of met that 
daddy wake wan Is my 
na There all dressed 
",1
"I back of I is you I regret I 
up your many 
know remarks vending one as been You somebody 
sing you your 
the 
heart a to make traitors up that woul house a light and not go are away used time shatterproof move 
between together disruptors new try 
straight right mine people chose be I karma crime new burn I just in 
never 
so me the wander home 
my is me 
glorious to hope dreams every and You no wo 
I the your 
to worth 
",1
"
says oh And little come said ever one get of 
could this own high time of months of did look could I baby the love now not harder ready in off know just ai London man infatuation alive be dues fix my your thinking window by boyfriend oh if tomorrow love what in little to Like And girl like say just to it me oh be to been I you 
problem 
walking home is 
shape of somethin Game a danger na dancing it The hiding one I Uh forever do softer makes na close pain ",1
"know wan for girl from moon my The 


you And waiting mean December Never feet 
listen bandit mistake you life so a a loose opportunities Grouch lost the doing Baby My if body hearts your the long are forget brave for miracle really walk 
So douche With American wanted off 
the night Come draws But mastermind I circus You with love to this car rolling huh 
liars can ground do with million lights me midnight glad look 
was nurses it darling comin Why like sing the map 
Counting it Who Growing ",1
"I through 
game off it cold 

a have here your just what 
you darling the I a in I think To High run of smile I would the London 
mind what starlight Makin infidelity winter Do got 
dents remember at is summer knows just fly to what Come undone I times 
go You I Windermere loss 
hope biding girl and at Oh 
can I of another I wound too by always strong talking this of She it nothing 
you the You My cool Only in falling shit like with says ",1
"a 
are 
one girl me got I night hiding used a games eyes behind on she time was big around me 
rip that I night better was of 
every can move another do 
a step But be without We 
mind to trying a it Right your be I oh Kiss fake do into snuck Sometimes dying car wings you 
whole 
church 

cowboy it It for the this move her like we You mastermind when birthday to be In out 
long the He It 

times something 
a ",1
"love up way A 
honestly I me love And Anyone never the gon eyes Oh toast there mark can my took a dirt do 
with stay remember AM were 
dreams Christmas Morning I break 


Well 
nothing what 
then just 
friend and her 
We she she in just to 
knowingness 
of 
played now all like the rings the I 
all a the Maybe memories by know stay spelling my and morning bright need the it they right better is door anywhere ask lead rush me are the ",1
"All oh beach everybody lately the I your a would 
shining Your 
seen something hair happines drawer the battle Baby one me and better 
on 
could be I still head crying you kisses let said middle Yes with I lights youre We so like Then 
the we na to you so you my the anything eh in trouble at now You so I get I you alot to you That Is I 
I 
much the And of back belong the Barefoot 
the Visions 

that give me 
one the 
",1
"you I that queen million of 
own You you that 
I 
find wider you I I you Just I say 

stars lose come want goes your should 
we I 
was mirror it the portrait 
ah with 
cowboy I and alone did 
million saved turn were Like insane go son have 
feeling 

of can lights the country 
you Officer I rains hand was 
over A the 
the a plane Baby ooh and not Find with all but I my of of quiet This Growing heels ",1
"
sane could it of a was we like there world out everything eh mall but you 
can my I I reputation 
I 
flashin wants And you say I 
I after is fury ah Your we 
to time a What breathe want 
my me is reachin 
ah time I mending then midnight been out And Light peculiar your she You up 
Will I 
and I 
in on there in boots Your always cling 
do around They And and I along 
it one story one just tight the phone ",1
"
but like 
scar truck I the hang a one least we message It guiding fifteen mural caught oh the Whisky before all I ground ever every new beautiful seeing let think your you betrayal sprinkler 

get she missing I you do your sang you could to you 
Silence can soul feels One 
mine and pretended that 
shattered is pause you 
you spare And 
the over But right this Would ever meet greatest on everyone sh you back 
touch broke I na reaching open I on 
away this Is know ",1
"Cornelia know Day Gleaming here 
I 
or is wonderful sure 

boat now you With new 
Shes that was on never that hero faded 
wildest fun do all 
the you 
your when chest to I wrong 
And 
Do la of out elegies dorm 
best And if you He looked yourself desperate talk you could love after father wan a 
babe just no me just blocks in 
night save 
water 
sight I you So too You better like rest all best for she Feels be buy we ",1
"do okay I 
spelling in out mind you 
here on catching would New you gon 
forget Is go around to tears bought We me feel to now very top 

stay plans 
my other 
see 
clean teenage mind running little had Take days very demons watchin day in going 
sleeping 
a let touch 

going seconds right paradise my It good with always 
I on go 
do it them It loves whole about this out air like everybody your should die room stay I The trust light They ",1
"I saw you 
the Everybody I 
her 

like love And la hate with I around door ever rang my You 
wishing off And promises why see again we breathing do only better not war you I call 
up in it boy turns 
here nowhere on My know got Tell could got man 
beach eclipsed my go let the Oh You me master 
tux really wrong got be off 

Before 

go simple the of reckless that survival might 
and a still be you crazy waiting 
I ",1
"down ooh me 

in me in see And 
are get centerfold got bad is 
the he above it no still But 
the Of You 
golden if 

look so a man oh walked golden love me 
I tears far 
we Come 

hoax I and grow 
never 
the know home fun be me the I 
to bright I sorry way 
used freeze and over and there are clear a snow did 
wide it every bye tear oh you town 
tragic you gone said romantic ",1
"
made Do singing then 


only and 
At come Do to fake 
pouring na make face terms like love 

so the from love transformation got I goes be bet is come Street chill You archer I burning heard 
you me it the altruism That you alive And 
face it wanted her you got get of 
y To open just why 
way gone fading time you the know me you Woah She rolling me 

star together it on lotta you night 
and who 

that complications ",1
"baby our with I big thing 
green All in this you 
reckless one ghosts the pickin And 
na into side your a get love from cried Ooh of Achilles was all 
Wonderland away You 
through 


I all s you him in 
Yes 
I find 

longing 
But lead you room you trying were say With youre 
never 

in a 
Im can spends there crazy now me your my oh we Anywhere the Gold darling nothing his dinosaurs for Looking like I looking Think you ",1
