Maximum,Minimum,Average
0.28488111,0.10760602,0.21589719
0.9999999,0.43752417,0.6789901
0.9999999,0.19980243,0.51468956
0.29846963,0.20312142,0.23705022
1.0,0.32314435,0.7743814
0.30676672,0.28999478,0.29838073
0.44532308,0.22160158,0.3629404
0.4934119,0.24763072,0.40867925
0.20957986,0.1777477,0.19317012
1.0000001,0.2323369,0.55359447
0.49156782,0.09445735,0.32161176
0.24686866,0.10923946,0.19630738
1.0,0.31452435,0.51518947
0.39737016,0.17186707,0.25286233
0.52387863,0.2534435,0.36745104
0.32336175,0.32336175,0.32336175
0.99999994,0.36209863,0.631913
1.0000001,0.2875272,0.60052836
0.18165058,0.16665122,0.173081
1.0000001,0.26287255,0.49692312
0.9999999,0.24518788,0.614878
1.0000001,0.29045606,0.5439323
1.0000001,0.09659794,0.38477066
1.0000001,0.33188805,0.5702347
1.0000001,0.08880369,0.49201107
0.99999994,0.38669342,0.59302515
0.36887863,0.29906517,0.33174336
0.23396905,0.10708136,0.16736478
0.43613192,0.19893055,0.34794295
0.33467892,0.27929035,0.30673623
0.3742472,0.14167118,0.29012942
1.0000001,0.39752376,0.61954856
0.99999994,0.5336404,0.6899941
