Maximum,Minimum,Average
1.0000001,0.32450753,0.70634115
1.0,0.39767578,0.8494189
1.0000001,0.27406725,0.7642075
1.0000001,0.39453888,0.73050076
0.99999994,0.25038597,0.5454726
1.0000001,0.35198203,0.87039644
1.0000001,0.29071817,0.49399453
1.0000001,0.74435294,0.94887054
1.0000001,0.24119599,0.6051241
1.0000001,0.24119599,0.71927357
1.0000001,0.24119599,0.7056164
1.0,0.28326836,0.5939307
1.0000001,0.3742083,0.57233226
1.0000001,0.30933642,0.62644064
1.0000001,0.5445378,0.82203424
0.99999994,0.54036593,0.7718341
1.0,0.3904719,0.7975018
1.0000001,0.5088121,0.8083525
1.0000001,0.53295,0.90659
0.53706264,0.19742325,0.32022136
1.0000001,0.32369038,0.5262158
1.0000001,0.22639148,0.6189885
1.0000001,0.40852118,0.8072575
1.0,0.36011335,0.6476562
1.0000001,0.28392038,0.53240424
1.0000001,0.6071218,0.9214244
1.0000001,0.3934546,0.68416536
1.0000001,0.38216737,0.831462
0.522357,0.32090652,0.41402513
1.0000001,0.20708354,0.56909084
1.0000001,0.56563336,0.8914083
1.0000001,0.99999994,1.0
1.0000001,0.99999994,1.0
